12/31/2009 0:00:00 , "MI" , "LAKE-EFFECT SNOW" , 0.00 , 0.00 , 0.00
1/21/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 2903.00 , 8118.00
1/21/2010 0:00:00 , "FL" , "FUNNEL CLOUD" , 0.00 , 2916.00 , 8103.00
1/20/2010 0:00:00 , "LA" , "TORNADO" , 0.00 , 3146.00 , 9315.00
1/20/2010 0:00:00 , "LA" , "HAIL" , 0.00 , 3230.00 , 9204.00
1/20/2010 0:00:00 , "LA" , "HAIL" , 0.00 , 3213.00 , 9216.00
1/20/2010 0:00:00 , "FL" , "LIGHTNING" , 0.00 , 3028.00 , 8138.00
1/17/2010 0:00:00 , "NC" , "THUNDERSTORM WIND" , 0.00 , 3543.00 , 7716.00
1/24/2010 0:00:00 , "AL" , "FLASH FLOOD" , 0.00 , 3319.00 , 8529.00
1/24/2010 0:00:00 , "AL" , "THUNDERSTORM WIND" , 0.00 , 3249.00 , 8510.00
1/24/2010 0:00:00 , "AL" , "FLASH FLOOD" , 0.00 , 3348.00 , 8601.00
1/21/2010 0:00:00 , "MO" , "HAIL" , 0.00 , 3614.00 , 9003.00
1/21/2010 0:00:00 , "AR" , "HAIL" , 0.00 , 3536.00 , 9019.00
1/23/2010 0:00:00 , "AR" , "THUNDERSTORM WIND" , 0.00 , 3431.00 , 9035.00
1/24/2010 0:00:00 , "AR" , "HAIL" , 0.00 , 3509.00 , 9010.00
1/26/2010 0:00:00 , "ME" , "FLOOD" , 0.00 , 4451.00 , 6955.00
1/25/2010 0:00:00 , "ME" , "FLOOD" , 0.00 , 4440.00 , 7035.00
1/26/2010 0:00:00 , "VT" , "FLOOD" , 0.00 , 4457.00 , 7300.00
1/20/2010 0:00:00 , "LA" , "THUNDERSTORM WIND" , 0.00 , 3040.00 , 9216.00
1/20/2010 0:00:00 , "TX" , "HAIL" , 0.00 , 3243.00 , 9457.00
1/25/2010 0:00:00 , "VA" , "FLASH FLOOD" , 0.00 , 3812.00 , 7907.00
1/25/2010 0:00:00 , "VA" , "FLASH FLOOD" , 0.00 , 3730.00 , 7854.00
1/25/2010 0:00:00 , "VA" , "FLASH FLOOD" , 0.00 , 3639.00 , 8041.00
1/24/2010 0:00:00 , "VA" , "FLASH FLOOD" , 0.00 , 3720.00 , 8045.00
1/15/2010 0:00:00 , "TX" , "FLOOD" , 0.00 , 2755.00 , 9708.00
1/20/2010 0:00:00 , "CA" , "FLASH FLOOD" , 1.00 , 3413.00 , 11854.00
1/20/2010 0:00:00 , "MO" , "HAIL" , 0.00 , 3948.00 , 9131.00
1/21/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 3025.00 , 8126.00
1/21/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 3025.00 , 8126.00
1/21/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 3003.00 , 8204.00
1/21/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 2954.00 , 8148.00
1/19/2010 0:00:00 , "CA" , "THUNDERSTORM WIND" , 0.00 , 3331.00 , 11746.00
1/31/2010 0:00:00 , "ME" , "FLOOD" , 0.00 , 4419.00 , 6946.00
1/26/2010 0:00:00 , "MO" , "FLOOD" , 0.00 , 3716.00 , 8931.00
1/25/2010 0:00:00 , "IL" , "FLOOD" , 0.00 , 3713.00 , 8901.00
1/27/2010 0:00:00 , "IL" , "FLOOD" , 0.00 , 3712.00 , 8927.00
1/28/2010 0:00:00 , "IN" , "FLOOD" , 0.00 , 3756.00 , 8725.00
1/25/2010 0:00:00 , "WV" , "FLOOD" , 0.00 , 3906.00 , 7940.00
1/26/2010 0:00:00 , "PA" , "FLOOD" , 0.00 , 4026.00 , 8000.00
1/25/2010 0:00:00 , "MA" , "FLOOD" , 0.00 , 4241.00 , 7234.00
1/24/2010 0:00:00 , "GA" , "THUNDERSTORM WIND" , 0.00 , 3328.00 , 8207.00
1/24/2010 0:00:00 , "GA" , "THUNDERSTORM WIND" , 0.00 , 3346.00 , 8223.00
1/24/2010 0:00:00 , "GA" , "FLASH FLOOD" , 0.00 , 3327.00 , 8228.00
1/25/2010 0:00:00 , "SC" , "FLASH FLOOD" , 0.00 , 3443.00 , 8046.00
1/25/2010 0:00:00 , "SC" , "THUNDERSTORM WIND" , 0.00 , 3419.00 , 8106.00
1/25/2010 0:00:00 , "SC" , "THUNDERSTORM WIND" , 0.00 , 3359.00 , 8057.00
1/25/2010 0:00:00 , "SC" , "THUNDERSTORM WIND" , 0.00 , 3400.00 , 8119.00
1/25/2010 0:00:00 , "SC" , "THUNDERSTORM WIND" , 0.00 , 3307.00 , 8125.00
1/25/2010 0:00:00 , "SC" , "THUNDERSTORM WIND" , 0.00 , 3309.00 , 8122.00
1/24/2010 0:00:00 , "SC" , "THUNDERSTORM WIND" , 0.00 , 3333.00 , 8148.00
1/24/2010 0:00:00 , "SC" , "FLASH FLOOD" , 0.00 , 3333.00 , 8149.00
1/25/2010 0:00:00 , "WV" , "FLOOD" , 0.00 , 3825.00 , 8009.00
1/18/2010 0:00:00 , "CA" , "FLASH FLOOD" , 0.00 , 3318.00 , 11655.00
1/26/2010 0:00:00 , "NY" , "FLOOD" , 0.00 , 4459.00 , 7430.00
1/25/2010 0:00:00 , "NY" , "FLOOD" , 0.00 , 4421.00 , 7332.00
1/25/2010 0:00:00 , "NY" , "FLOOD" , 0.00 , 4426.00 , 7340.00
1/21/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 3052.00 , 8509.00
1/21/2010 0:00:00 , "GA" , "THUNDERSTORM WIND" , 0.00 , 3048.00 , 8316.00
1/21/2010 0:00:00 , "FL" , "FLASH FLOOD" , 0.00 , 3010.00 , 8545.00
1/21/2010 0:00:00 , "FL" , "FLASH FLOOD" , 0.00 , 3018.00 , 8603.00
1/21/2010 0:00:00 , "GA" , "FLASH FLOOD" , 0.00 , 3042.00 , 8406.00
1/30/2010 0:00:00 , "KY" , "FLOOD" , 0.00 , 3746.00 , 8757.00
1/28/2010 0:00:00 , "KY" , "FLOOD" , 0.00 , 3706.00 , 8840.00
1/25/2010 0:00:00 , "NC" , "FLASH FLOOD" , 0.00 , 3613.00 , 8147.00
1/21/2010 0:00:00 , "CA" , "THUNDERSTORM WIND" , 0.00 , 3355.00 , 11809.00
1/29/2010 0:00:00 , "KY" , "HEAVY SNOW" , 0.00 , 0.00 , 0.00
1/14/2010 0:00:00 , "PR" , "FLASH FLOOD" , 0.00 , 6607.00 , 1825.00
1/25/2010 0:00:00 , "WV" , "FLOOD" , 0.00 , 3813.00 , 8029.00
1/29/2010 0:00:00 , "MO" , "FLOOD" , 0.00 , 3634.00 , 8931.00
1/25/2010 0:00:00 , "NY" , "FLASH FLOOD" , 0.00 , 4303.00 , 7446.00
1/25/2010 0:00:00 , "WV" , "FLOOD" , 0.00 , 3827.00 , 8015.00
1/24/2010 0:00:00 , "NC" , "FLASH FLOOD" , 0.00 , 3620.00 , 8026.00
1/24/2010 0:00:00 , "NC" , "FLASH FLOOD" , 0.00 , 3630.00 , 8021.00
1/20/2010 0:00:00 , "TX" , "HAIL" , 0.00 , 3343.00 , 9548.00
1/25/2010 0:00:00 , "VA" , "FLASH FLOOD" , 0.00 , 3732.00 , 7915.00
1/21/2010 0:00:00 , "GA" , "FLASH FLOOD" , 0.00 , 3103.00 , 8357.00
1/21/2010 0:00:00 , "CA" , "FLASH FLOOD" , 0.00 , 3410.00 , 11753.00
1/19/2010 0:00:00 , "CA" , "FLOOD" , 0.00 , 3507.00 , 11928.00
1/20/2010 0:00:00 , "CA" , "FLOOD" , 0.00 , 3609.00 , 12019.00
1/21/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 3004.00 , 8127.00
1/21/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 2950.00 , 8116.00
1/21/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 2939.00 , 8137.00
1/21/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 2908.00 , 8205.00
1/26/2010 0:00:00 , "MD" , "FLOOD" , 0.00 , 3939.00 , 7610.00
1/29/2010 0:00:00 , "TX" , "FLOOD" , 0.00 , 3321.00 , 9617.00
1/20/2010 0:00:00 , "TX" , "THUNDERSTORM WIND" , 0.00 , 3309.00 , 9530.00
1/20/2010 0:00:00 , "TX" , "THUNDERSTORM WIND" , 0.00 , 3310.00 , 9535.00
1/13/2010 0:00:00 , "PR" , "FLASH FLOOD" , 0.00 , 6620.00 , 1824.00
1/15/2010 0:00:00 , "PR" , "FLOOD" , 0.00 , 6620.00 , 1824.00
1/15/2010 0:00:00 , "PR" , "FLOOD" , 0.00 , 6620.00 , 1824.00
1/15/2010 0:00:00 , "PR" , "FLOOD" , 0.00 , 6621.00 , 1825.00
1/15/2010 0:00:00 , "PR" , "FLOOD" , 0.00 , 6554.00 , 1825.00
1/13/2010 0:00:00 , "OR" , "HIGH WIND" , 0.00 , 0.00 , 0.00
1/15/2010 0:00:00 , "WA" , "LANDSLIDE" , 0.00 , 0.00 , 0.00
1/25/2010 0:00:00 , "VA" , "FLASH FLOOD" , 0.00 , 3812.00 , 7924.00
1/19/2010 0:00:00 , "CA" , "HEAVY RAIN" , 0.00 , 3315.00 , 11557.00
1/15/2010 0:00:00 , "TX" , "FLOOD" , 0.00 , 2751.00 , 9746.00
1/21/2010 0:00:00 , "FL" , "FLOOD" , 0.00 , 2957.00 , 8225.00
1/21/2010 0:00:00 , "FL" , "FLOOD" , 0.00 , 2956.00 , 8206.00
1/21/2010 0:00:00 , "FL" , "FUNNEL CLOUD" , 0.00 , 2953.00 , 8117.00
1/21/2010 0:00:00 , "NV" , "FLASH FLOOD" , 0.00 , 3609.00 , 11512.00
1/19/2010 0:00:00 , "CA" , "FLASH FLOOD" , 0.00 , 3350.00 , 11813.00
1/25/2010 0:00:00 , "VA" , "FLASH FLOOD" , 0.00 , 3803.00 , 7831.00
1/21/2010 0:00:00 , "KY" , "HEAVY RAIN" , 0.00 , 3704.00 , 8837.00
1/25/2010 0:00:00 , "VA" , "FLASH FLOOD" , 0.00 , 3750.00 , 7855.00
1/25/2010 0:00:00 , "VA" , "FLASH FLOOD" , 0.00 , 3815.00 , 7833.00
1/21/2010 0:00:00 , "AZ" , "FLASH FLOOD" , 0.00 , 3504.00 , 11433.00
1/20/2010 0:00:00 , "NV" , "HEAVY RAIN" , 0.00 , 3610.00 , 11503.00
1/25/2010 0:00:00 , "VA" , "FLASH FLOOD" , 0.00 , 3734.00 , 7915.00
1/25/2010 0:00:00 , "VA" , "FLASH FLOOD" , 0.00 , 3730.00 , 7901.00
1/25/2010 0:00:00 , "VA" , "FLASH FLOOD" , 0.00 , 3739.00 , 7904.00
1/20/2010 0:00:00 , "TX" , "THUNDERSTORM WIND" , 0.00 , 3306.00 , 9535.00
1/20/2010 0:00:00 , "TX" , "TORNADO" , 0.00 , 3203.00 , 9541.00
1/21/2010 0:00:00 , "FL" , "FLOOD" , 0.00 , 2959.00 , 8245.00
1/21/2010 0:00:00 , "FL" , "FLOOD" , 0.00 , 2955.00 , 8242.00
1/21/2010 0:00:00 , "FL" , "FLOOD" , 0.00 , 2943.00 , 8130.00
1/25/2010 0:00:00 , "PA" , "FLOOD" , 0.00 , 3951.00 , 7726.00
1/25/2010 0:00:00 , "PA" , "FLOOD" , 0.00 , 3949.00 , 7843.00
1/25/2010 0:00:00 , "PA" , "FLOOD" , 0.00 , 4010.00 , 7457.00
1/20/2010 0:00:00 , "CA" , "FLOOD" , 0.00 , 3715.00 , 12222.00
1/20/2010 0:00:00 , "CA" , "THUNDERSTORM WIND" , 0.00 , 3733.00 , 12226.00
1/20/2010 0:00:00 , "CA" , "FLOOD" , 0.00 , 3703.00 , 12204.00
1/20/2010 0:00:00 , "CA" , "FLOOD" , 0.00 , 3722.00 , 12156.00
1/26/2010 0:00:00 , "NC" , "FLOOD" , 0.00 , 3506.00 , 8055.00
1/26/2010 0:00:00 , "NC" , "FLOOD" , 0.00 , 3521.00 , 8041.00
1/24/2010 0:00:00 , "IA" , "FLOOD" , 0.00 , 4112.00 , 9255.00
1/24/2010 0:00:00 , "IA" , "FLOOD" , 0.00 , 4106.00 , 9231.00
1/21/2010 0:00:00 , "CA" , "THUNDERSTORM WIND" , 0.00 , 3336.00 , 11435.00
1/24/2010 0:00:00 , "SC" , "THUNDERSTORM WIND" , 0.00 , 3358.00 , 8138.00
1/24/2010 0:00:00 , "SC" , "THUNDERSTORM WIND" , 0.00 , 3339.00 , 8152.00
1/25/2010 0:00:00 , "SC" , "THUNDERSTORM WIND" , 0.00 , 3324.00 , 8021.00
1/25/2010 0:00:00 , "SC" , "THUNDERSTORM WIND" , 0.00 , 3352.00 , 8001.00
1/21/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 3041.00 , 8523.00
1/19/2010 0:00:00 , "CA" , "THUNDERSTORM WIND" , 0.00 , 3339.00 , 11755.00
1/19/2010 0:00:00 , "CA" , "THUNDERSTORM WIND" , 0.00 , 3324.00 , 11739.00
1/19/2010 0:00:00 , "CA" , "HEAVY RAIN" , 0.00 , 3404.00 , 11727.00
1/21/2010 0:00:00 , "AZ" , "FLASH FLOOD" , 0.00 , 3303.00 , 11136.00
1/21/2010 0:00:00 , "FL" , "HEAVY RAIN" , 0.00 , 2936.00 , 8115.00
1/17/2010 0:00:00 , "WA" , "FLOOD" , 0.00 , 4821.00 , 11942.00
1/22/2010 0:00:00 , "KY" , "FLOOD" , 0.00 , 3716.00 , 8659.00
1/25/2010 0:00:00 , "PA" , "FLOOD" , 0.00 , 4127.00 , 7808.00
1/25/2010 0:00:00 , "PA" , "FLOOD" , 0.00 , 4107.00 , 7846.00
1/25/2010 0:00:00 , "PA" , "FLOOD" , 0.00 , 4012.00 , 7659.00
1/24/2010 0:00:00 , "NC" , "FLASH FLOOD" , 0.00 , 3615.00 , 8112.00
1/24/2010 0:00:00 , "NC" , "FLASH FLOOD" , 0.00 , 3612.00 , 8100.00
1/24/2010 0:00:00 , "NC" , "FLASH FLOOD" , 0.00 , 3628.00 , 8130.00
1/24/2010 0:00:00 , "NC" , "FLASH FLOOD" , 0.00 , 3607.00 , 8039.00
1/24/2010 0:00:00 , "VA" , "FLASH FLOOD" , 0.00 , 3643.00 , 8013.00
1/25/2010 0:00:00 , "MA" , "FLOOD" , 0.00 , 4220.00 , 7236.00
1/22/2010 0:00:00 , "NM" , "FLOOD" , 0.00 , 3311.00 , 10814.00
1/25/2010 0:00:00 , "VA" , "FLASH FLOOD" , 0.00 , 3640.00 , 8005.00
1/25/2010 0:00:00 , "VA" , "FLASH FLOOD" , 0.00 , 3637.00 , 8015.00
1/25/2010 0:00:00 , "VA" , "FLASH FLOOD" , 0.00 , 3637.00 , 8013.00
1/25/2010 0:00:00 , "VA" , "FLASH FLOOD" , 0.00 , 3642.00 , 8006.00
1/20/2010 0:00:00 , "LA" , "HAIL" , 0.00 , 3228.00 , 9348.00
1/20/2010 0:00:00 , "LA" , "HAIL" , 0.00 , 3204.00 , 9239.00
1/22/2010 0:00:00 , "AZ" , "FLOOD" , 0.00 , 3328.00 , 10918.00
1/21/2010 0:00:00 , "AZ" , "FLOOD" , 0.00 , 3158.00 , 11037.00
1/20/2010 0:00:00 , "TX" , "HAIL" , 0.00 , 3415.00 , 9927.00
1/20/2010 0:00:00 , "TX" , "HAIL" , 0.00 , 3405.00 , 9833.00
1/25/2010 0:00:00 , "VA" , "FLASH FLOOD" , 0.00 , 3641.00 , 7956.00
1/25/2010 0:00:00 , "VA" , "FLASH FLOOD" , 0.00 , 3800.00 , 7953.00
1/24/2010 0:00:00 , "KY" , "FLOOD" , 0.00 , 3650.00 , 8403.00
1/24/2010 0:00:00 , "KY" , "HEAVY RAIN" , 0.00 , 3649.00 , 8449.00
1/8/2010 0:00:00 , "ID" , "FLOOD" , 0.00 , 4510.00 , 11354.00
1/24/2010 0:00:00 , "NC" , "FLASH FLOOD" , 0.00 , 3612.00 , 8140.00
1/15/2010 0:00:00 , "TX" , "FLOOD" , 0.00 , 2803.00 , 9748.00
1/15/2010 0:00:00 , "TX" , "FLOOD" , 0.00 , 2830.00 , 9639.00
1/24/2010 0:00:00 , "MO" , "FLOOD" , 0.00 , 3740.00 , 9307.00
1/24/2010 0:00:00 , "MO" , "FLOOD" , 0.00 , 3743.00 , 9314.00
1/18/2010 0:00:00 , "CA" , "FLASH FLOOD" , 0.00 , 3427.00 , 11945.00
1/21/2010 0:00:00 , "MS" , "FLASH FLOOD" , 0.00 , 3221.00 , 9027.00
1/25/2010 0:00:00 , "VA" , "FLASH FLOOD" , 0.00 , 3638.00 , 8016.00
1/29/2010 0:00:00 , "HI" , "HEAVY RAIN" , 0.00 , 15758.00 , 2125.00
1/29/2010 0:00:00 , "HI" , "HEAVY RAIN" , 0.00 , 15644.00 , 2109.00
1/29/2010 0:00:00 , "HI" , "HEAVY RAIN" , 0.00 , 15636.00 , 2101.00
1/30/2010 0:00:00 , "HI" , "HEAVY RAIN" , 0.00 , 15657.00 , 2109.00
1/27/2010 0:00:00 , "MD" , "FLOOD" , 0.00 , 3940.00 , 7610.00
1/21/2010 0:00:00 , "IN" , "HEAVY RAIN" , 0.00 , 3758.00 , 8733.00
1/25/2010 0:00:00 , "NC" , "FLASH FLOOD" , 0.00 , 3602.00 , 7946.00
1/25/2010 0:00:00 , "NC" , "FLASH FLOOD" , 0.00 , 3612.00 , 7954.00
1/25/2010 0:00:00 , "NC" , "FLASH FLOOD" , 0.00 , 3518.00 , 8012.00
1/25/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 2900.00 , 8210.00
1/25/2010 0:00:00 , "FL" , "FUNNEL CLOUD" , 0.00 , 3006.00 , 8155.00
1/20/2010 0:00:00 , "LA" , "LIGHTNING" , 0.00 , 3231.00 , 9246.00
1/20/2010 0:00:00 , "AR" , "FLASH FLOOD" , 0.00 , 3304.00 , 9310.00
1/20/2010 0:00:00 , "AR" , "HAIL" , 0.00 , 3410.00 , 9418.00
1/29/2010 0:00:00 , "LA" , "FLOOD" , 0.00 , 3021.00 , 9314.00
1/25/2010 0:00:00 , "NC" , "FLASH FLOOD" , 0.00 , 3522.00 , 8013.00
1/24/2010 0:00:00 , "KY" , "FLOOD" , 0.00 , 3712.00 , 8408.00
1/24/2010 0:00:00 , "KY" , "FLOOD" , 0.00 , 3731.00 , 8319.00
1/24/2010 0:00:00 , "KY" , "FLOOD" , 0.00 , 3652.00 , 8415.00
1/24/2010 0:00:00 , "KY" , "FLOOD" , 0.00 , 3709.00 , 8346.00
1/20/2010 0:00:00 , "TX" , "TORNADO" , 0.00 , 3130.00 , 9355.00
1/21/2010 0:00:00 , "NV" , "FLASH FLOOD" , 0.00 , 3642.00 , 11440.00
1/21/2010 0:00:00 , "NV" , "FLASH FLOOD" , 0.00 , 3607.00 , 11510.00
1/20/2010 0:00:00 , "TX" , "HAIL" , 0.00 , 3243.00 , 9457.00
1/20/2010 0:00:00 , "TX" , "HAIL" , 0.00 , 3243.00 , 9458.00
1/20/2010 0:00:00 , "MS" , "FLASH FLOOD" , 0.00 , 3221.00 , 9052.00
1/20/2010 0:00:00 , "MS" , "FLASH FLOOD" , 0.00 , 3219.00 , 9036.00
1/24/2010 0:00:00 , "MS" , "HAIL" , 0.00 , 3346.00 , 8948.00
1/24/2010 0:00:00 , "MS" , "HAIL" , 0.00 , 3336.00 , 9048.00
1/24/2010 0:00:00 , "MS" , "FLASH FLOOD" , 0.00 , 3119.00 , 8919.00
1/25/2010 0:00:00 , "PA" , "FLOOD" , 0.00 , 4007.00 , 7513.00
1/25/2010 0:00:00 , "NC" , "FLASH FLOOD" , 0.00 , 3623.00 , 7957.00
1/25/2010 0:00:00 , "NC" , "FLASH FLOOD" , 0.00 , 3627.00 , 7955.00
1/25/2010 0:00:00 , "NC" , "FLASH FLOOD" , 0.00 , 3627.00 , 7938.00
